ID,title,Directed by ,Written by,Produced by ,Starring,Cinematography,Edited by ,Music by,Produced companies,distributed by,Running time, budget , box office , net profit/loss 
144,The Fate of the Furious,F. Gary Gray,Chris Morgan,"Neal H. Moritz, Vin Diesel, Michael Fottrell, Chris Morgan","Vin Diesel, Dwayne Johnson, Jason Statham, Michelle Rodriguez, Tyrese Gibson, Chris Ludacris Bridges, Kurt Russell, Charlize Theron",Stephen F. Windon,"Christian Wagner, Paul Rubell",Brian Tyler,"Original Film, One Race Films, China Film Group Corporation",Universal Pictures,136 minutes ," $27,00,00,000.00 "," $1,23,60,00,000.00 "," $96,60,00,000.00 "
164,Jurassic World: Fallen Kingdom,J. A. Bayona,"Derek Connolly, Colin Trevorrow","Frank Marshall, Patrick Crowley, Belen Atienza","Chris Pratt, Bryce Dallas Howard, Rafe Spall, Toby Jones, Ted Levine, BD Wong, Jeff Goldblum",Ascar Faura,Bernat Vilaplana,Michael Giacchino,"Amblin Entertainment , Legendary Pictures , The Kennedy Marshall Company , Perfect World Pictures ",Universal Pictures ,128 minutes ," $43,20,00,000.00 "," $1,31,00,00,000.00 "," $87,80,00,000.00 "
99,Furious 7,James Wan,Chris Morgan,"Neal H. Moritz, Vin Diesel, Michael Fottrell","Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Chris Ludacris Bridges, Jordana Brewster, Djimon Hounsou, Kurt Russell, Jason Statham","Stephen F. Windon, Marc Spicer","Christian Wagner, Dylan Highsmith, Kirk Morri, Leigh Folsom Boyd",Brian Tyler,"MRC, Original Film, One Race Films, China Film Group Corporation ",Universal Pictures,137 minutes ," $19,00,00,000.00 "," $1,51,50,00,000.00 "," $1,32,50,00,000.00 "
103,Jurassic World,Colin Trevorrow,,"Frank Marshall, Patrick Crowley","Chris Pratt, Bryce Dallas Howard, Vincent DOnofrio, Ty Simpkins, Nick Robinson, Omar Sy, BD Wong, Irrfan Khan",John Schwartzman,Kevin Stitt,Michael Giacchino,"Amblin Entertainment, Legendary Pictures, The Kennedy Marshall Company ",Universal Pictures,124 minutes ," $21,50,00,000.00 "," $1,67,10,00,000.00 "," $1,45,60,00,000.00 "
7,Senna,Asif Kapadia,Manish Pandey,Chris Berend Tim Bevan Eric Fellner James Gay-Rees,Ayrton Senna Alain Prost Frank Williams Ron Dennis,Jake Polonsky,Chris King Gregers Sall,Antonio Pinto,StudioCanal Working Title Films Midfield Films,Universal Pictures,106 minutes ,,,
15,Catfish,Henry Joost Ariel Schulman,,Andrew Jarecki Marc Smerling Henry Joost Ariel Schulman,Nev Schulman Henry Joost Ariel Schulman,Henry Joost Ariel Schulman Nev Schulman,Zachary Stuart-Pontier,Mark Mothersbaugh,Relativity Media Rogue Pictures Hit the Ground Running  A Supermarche ,Universal Pictures,87 minutes ,,,
43,A Fantastic Fear of Everything,Chris Hopewell Crispian Mills,Crispian Mills,Geraldine Patten,"Simon Pegg, Clare Higgins, Amara Karan, Paul Freeman, Alan Drake",Simon Chaudoir,Dan Roberts,Michael Price,Indomina Productions Pinewood Films The Works International Keel Films,Universal Pictures,100 minutes," $15,00,000.00 ",," $-15,00,000.00 "
45,Storage 24,Johannes Roberts,,Manu Kumaran Noel Clarke,"Noel Clarke, Colin ODonoghue, Antonia Campbell-Hughes, Laura Haddock",Tim Sidell,Martin Brinkler,Christian Henson,Unstoppable Entertainment Big Yellow Films Medient Entertainment,"Magnolia Pictures and Magnet Releasing   , Universal Pictures  ",87 minutes," $16,00,000.00 ",," $-16,00,000.00 "
50,Mental,P. J. Hogan,P. J. Hogan,"Janet Zucker, Jerry Zucker, Todd Fellman, Jocelyn Moorhouse","Toni Collette, Anthony LaPaglia, Liev Schreiber, Rebecca Gibney",Donald McAlpine,Jill Bilcock,Michael Yezerski,"Screen Australia, Screen Queensland, Screen NSW, Zucker Productions, Story Bridge Films",Universal Pictures,116 minutes,,,
134,Ordinary World,Lee Kirk,Lee Kirk,"Alex A. Ginzburg, Tony Lee, Tim Perell","Billie Joe Armstrong, Selma Blair, Judy Greer, Chris Messina, Fred Armisen",Scott Miller,Stephen Haren,Dickon Hinchliffe Billie Joe Armstrong,"Let It Play, Process Media",Universal Pictures,86 minutes,,,
137,Frank & Lola,Matthew Ross,Matthew Ross,"Jay Van Hoy, John Baker, Christopher Ramirez, Lars Knudsen","Michael Shannon, Imogen Poots, Michael Nyqvist, Justin Long, Stella Schnabel, Rosanna Arquette, Emmanuelle Devos",Eric Koretz,"Jennifer Lilly, Rebecca Rodriguez","Daniel Bensi, Saunder Jurriaans","Parts and Labor, Killer Films, Lola Pictures, FullDawa Films, Great Point Media",Paladin,88 minutes,,,
194,Les Miserables: The Staged Concert,"Nick Morris James Powell , Jean-Pierre van der Spuy",,Dione Orrom,Alfie Boe Michael Ball Carrie Hope Fletcher Matt Lucas Katy Secombe Rob Houchen Lily Kerhoas Shan Ako Bradley Jaden Earl Carpenter,,Tim Thompsett,Claude-Michel ,,Universal Pictures, 165 minutes  ,,,
